scientific_name	size_class	trophic_type	comments	trophic_type_source
Katablepharis	2	HT		SMHI_bvol och PEG
Katablepharis	3	HT		SMHI_bvol och PEG
Katablepharis	4	HT		SMHI_bvol och PEG
Katablepharis		HT		Lagt till art utan storleksklass
Katablepharis ovalis	1	HT		SMHI_bvol och PEG
Katablepharis ovalis	2	HT		SMHI_bvol och PEG
Katablepharis ovalis		HT		Lagt till art utan storleksklass
Katablepharis remigera	1	HT		SMHI_bvol och PEG
Katablepharis remigera	2	HT		SMHI_bvol och PEG
Katablepharis remigera	3	HT		SMHI_bvol och PEG
Katablepharis remigera		HT		Lagt till art utan storleksklass
Kathablepharis remigera	1	HT		Arter i sharkweb som inte finns PEG/SMHI listan
Kathablepharis remigera	1	HT		
Kathablepharis remigera	3	HT		Arter i sharkweb som inte finns PEG/SMHI listan
Kathablepharis remigera	3	HT		
Kathablepharis remigera		HT	felstavad skall vara Katablepharis utan h i början	Arter i sharkweb som inte finns PEG/SMHI listan
Katodinium	1	AU		SMHI_bvol och PEG
Katodinium	2	AU		SMHI_bvol och PEG
Katodinium	3	AU		SMHI_bvol och PEG
Katodinium	51	HT		SMHI_bvol och PEG
Katodinium	52	HT		SMHI_bvol och PEG
Katodinium	53	HT		SMHI_bvol och PEG
Katodinium		NS		Arter i sharkweb som inte finns PEG/SMHI listan
Katodinium glaucum	1	HT		SMHI_bvol och PEG
Katodinium glaucum	2	HT		SMHI_bvol och PEG
Katodinium glaucum	3	HT		SMHI_bvol och PEG
Katodinium glaucum	4	HT		SMHI_bvol och PEG
Katodinium glaucum	5	HT		SMHI_bvol och PEG
Katodinium glaucum	6	HT		SMHI_bvol och PEG
Katodinium glaucum		HT		Lagt till art utan storleksklass
Kephyrion	1	MX		SMHI_bvol och PEG
Kephyrion		MX		Lagt till art utan storleksklass
Kirchneriella	1	AU		SMHI_bvol och PEG
Kirchneriella		AU		Lagt till art utan storleksklass
Kirchneriella contorta	1	AU		SMHI_bvol och PEG
Kirchneriella contorta		AU		Lagt till art utan storleksklass
Kirchneriella lunaris	1	AU		SMHI_bvol och PEG
Kirchneriella lunaris		AU		Lagt till art utan storleksklass
Kirchneriella obesa	1	AU		SMHI_bvol och PEG
Kirchneriella obesa	2	AU		SMHI_bvol och PEG
Kirchneriella obesa		AU		Lagt till art utan storleksklass
Kofoidinium		HT		
Kofoidinium velleloides	1	HT		SMHI_bvol och PEG
Kofoidinium velleloides		HT		Lagt till art utan storleksklass
Koliella	1	AU		SMHI_bvol och PEG
Koliella	2	AU		
Koliella		AU		Lagt till art utan storleksklass
Koliella	3	AU		
Koliella	4	AU		
Koliella longiseta	1	AU		SMHI_bvol och PEG
Koliella longiseta	2	AU		SMHI_bvol och PEG
Koliella longiseta	3	AU		
Koliella longiseta	4	AU		
Koliella longiseta		AU		Lagt till art utan storleksklass
Koliella longiseta	5	AU		
Koliella longiseta	6	AU		
Koliella longiseta	7	AU		
Koliella longiseta	8	AU		
Koliella longiseta f. longiseta	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Koliella longiseta f. longiseta	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Koliella longiseta f. longiseta		AU	NµA	Arter i sharkweb som inte finns PEG/SMHI listan
Koliella spiculiformis	1	AU		SMHI_bvol och PEG
Koliella spiculiformis	2	AU		
Koliella spiculiformis		AU		Lagt till art utan storleksklass
Koliella spiculiformis	3	AU		
Koliella spiculiformis	4	AU		
Koliella spiralis	1	AU		SMHI_bvol och PEG
Koliella spiralis		AU		Lagt till art utan storleksklass
Koliella spiralis	2	AU		
Komma caudata	1	AU		SMHI_bvol och PEG
Komma caudata		AU		Lagt till art utan storleksklass
Kryptoperidinium foliaceum	1	AU		SMHI_bvol och PEG
Kryptoperidinium foliaceum	2	AU		SMHI_bvol och PEG
Kryptoperidinium foliaceum	3	AU		SMHI_bvol och PEG
Kryptoperidinium foliaceum	4	AU		SMHI_bvol och PEG
Kryptoperidinium foliaceum	5	AU		
Kryptoperidinium foliaceum	6	AU		
Kryptoperidinium foliaceum	7	AU		
Kryptoperidinium foliaceum	8	AU		
Kryptoperidinium foliaceum		AU		Lagt till art utan storleksklass
Laboea strobila	1	MX		SMHI_bvol och PEG
Laboea strobila	2	MX		SMHI_bvol och PEG
Laboea strobila	3	MX		SMHI_bvol och PEG
Laboea strobila		MX		Lagt till art utan storleksklass
Lacrymaria		HT		
Lacunastrum gracillimum	1	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	2	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	3	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	4	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	5	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	6	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	7	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	8	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	9	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	10	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	11	AU		SMHI_bvol och PEG
Lacunastrum gracillimum	12	AU		
Lacunastrum gracillimum		AU		Lagt till art utan storleksklass
Lagerheimia		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Lagerheimia	1	AU		
Lagerheimia ciliata	1	AU		SMHI_bvol och PEG
Lagerheimia ciliata		AU		Lagt till art utan storleksklass
Lagerheimia citriformis	1	AU		SMHI_bvol och PEG
Lagerheimia citriformis	2	AU		SMHI_bvol och PEG
Lagerheimia citriformis		AU		Lagt till art utan storleksklass
Lagerheimia genevensis	1	AU		SMHI_bvol och PEG
Lagerheimia genevensis		AU		Lagt till art utan storleksklass
Lagerheimia longiseta var. longiseta	1	AU		SMHI_bvol och PEG
Lagerheimia longiseta var. longiseta	2	AU		SMHI_bvol och PEG
Lagerheimia longiseta var. longiseta		AU		Lagt till art utan storleksklass
Lagerheimia quadriseta	1	AU		
Lagerheimia quadriseta	2	AU		
Lagerheimia quadriseta		AU		
Lagerheimia subsalsa	1	AU		SMHI_bvol och PEG
Lagerheimia subsalsa	2	AU		SMHI_bvol och PEG
Lagerheimia subsalsa		AU		Lagt till art utan storleksklass
Lagerheimia wratislaviensis	1	AU		SMHI_bvol och PEG
Lagerheimia wratislaviensis	2	AU		SMHI_bvol och PEG
Lagerheimia wratislaviensis		AU		Lagt till art utan storleksklass
Lanceola spatulifera	1	AU		SMHI_bvol och PEG
Lanceola spatulifera		AU		Lagt till art utan storleksklass
Lauderia		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Lauderia annulata	1	AU		SMHI_bvol och PEG
Lauderia annulata	2	AU		SMHI_bvol och PEG
Lauderia annulata	3	AU		SMHI_bvol och PEG
Lauderia annulata		AU		Lagt till art utan storleksklass
Leegaardiella		HT		
Leegaardiella sol		HT		
Leegardiella ovalis	1	HT		SMHI_bvol och PEG
Leegardiella ovalis		HT		Lagt till art utan storleksklass
Lemmermannia komarekii		AU	AlgaeBase	Arter i sharkweb som inte finns PEG/SMHI listan
Lemmermannia komarekii	1	AU		
Lemmermanniella	1	AU		SMHI_bvol och PEG
Lemmermanniella	2	AU		SMHI_bvol och PEG
Lemmermanniella	3	AU		SMHI_bvol och PEG
Lemmermanniella	4	AU		SMHI_bvol och PEG
Lemmermanniella	5	AU		SMHI_bvol och PEG
Lemmermanniella		AU		Lagt till art utan storleksklass
Lemmermanniella pallida	1	AU		SMHI_bvol och PEG
Lemmermanniella pallida	2	AU		SMHI_bvol och PEG
Lemmermanniella pallida	3	AU		SMHI_bvol och PEG
Lemmermanniella pallida	4	AU		SMHI_bvol och PEG
Lemmermanniella pallida	5	AU		SMHI_bvol och PEG
Lemmermanniella pallida		AU		Lagt till art utan storleksklass
Lemmermanniella parva	1	AU		SMHI_bvol och PEG
Lemmermanniella parva	2	AU		SMHI_bvol och PEG
Lemmermanniella parva	3	AU		SMHI_bvol och PEG
Lemmermanniella parva	4	AU		SMHI_bvol och PEG
Lemmermanniella parva	5	AU		SMHI_bvol och PEG
Lemmermanniella parva		AU		Lagt till art utan storleksklass
Lennoxia		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Lennoxia faveolata	1	AU		SMHI_bvol och PEG
Lennoxia faveolata	2	AU		SMHI_bvol och PEG
Lennoxia faveolata	3	AU		
Lennoxia faveolata	4	AU		
Lennoxia faveolata		AU		Lagt till art utan storleksklass
Lepidodinium chlorophorum	1	AU		SMHI_bvol och PEG
Lepidodinium chlorophorum		AU		Lagt till art utan storleksklass
Lepocinclis		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Lepocinclis acus	1	AU		SMHI_bvol och PEG
Lepocinclis acus		AU		Lagt till art utan storleksklass
Lepocinclis acus	2	AU		
Lepocinclis ovum	1	AU		SMHI_bvol och PEG
Lepocinclis ovum	2	AU		SMHI_bvol och PEG
Lepocinclis ovum		AU		Lagt till art utan storleksklass
Lepocinclis ovum	3	AU		
Lepocinclis ovum	4	AU		
Lepocinclis oxyuris	1	AU		SMHI_bvol och PEG
Lepocinclis oxyuris		AU		Lagt till art utan storleksklass
Lepocinclis oxyuris	2	AU		
Lepocinclis tripteris	1	AU		
Lepocinclis tripteris	2	AU		
Lepocinclis tripteris		AU		
Leprotintinnus pellucidus	1	HT		SMHI_bvol och PEG
Leprotintinnus pellucidus		HT		Lagt till art utan storleksklass
Leptocylindrus	1	AU		SMHI_bvol och PEG
Leptocylindrus	2	AU		SMHI_bvol och PEG
Leptocylindrus		AU		Lagt till art utan storleksklass
Leptocylindrus danicus	1	AU		SMHI_bvol och PEG
Leptocylindrus danicus	2	AU		SMHI_bvol och PEG
Leptocylindrus danicus	3	AU		SMHI_bvol och PEG
Leptocylindrus danicus	4	AU		SMHI_bvol och PEG
Leptocylindrus danicus	5	AU		SMHI_bvol och PEG
Leptocylindrus danicus	6	AU		SMHI_bvol och PEG
Leptocylindrus danicus	7	AU		SMHI_bvol och PEG
Leptocylindrus danicus	8	AU		SMHI_bvol och PEG
Leptocylindrus danicus	9	AU		SMHI_bvol och PEG
Leptocylindrus danicus		AU		Lagt till art utan storleksklass
Leptocylindrus mediterraneus	1	AU		SMHI_bvol och PEG
Leptocylindrus mediterraneus		AU		Lagt till art utan storleksklass
Leptocylindrus minimus	1	AU		SMHI_bvol och PEG
Leptocylindrus minimus	2	AU		SMHI_bvol och PEG
Leptocylindrus minimus		AU		Lagt till art utan storleksklass
Lessardia elongata	1	AU		SMHI_bvol och PEG
Lessardia elongata		AU		Lagt till art utan storleksklass
Leucocryptos	1	HT		SMHI_bvol och PEG
Leucocryptos		HT		Lagt till art utan storleksklass
Leucocryptos marina	1	HT		SMHI_bvol och PEG
Leucocryptos marina	2	HT		SMHI_bvol och PEG
Leucocryptos marina	3	HT		SMHI_bvol och PEG
Leucocryptos marina		HT		Lagt till art utan storleksklass
Licmophora	1	AU		SMHI_bvol och PEG
Licmophora	2	AU		SMHI_bvol och PEG
Licmophora	3	AU		SMHI_bvol och PEG
Licmophora	4	AU		SMHI_bvol och PEG
Licmophora		AU		Lagt till art utan storleksklass
Licmophora abbreviata	1	AU		SMHI_bvol och PEG
Licmophora abbreviata		AU		Lagt till art utan storleksklass
Licmophora gracilis	1	AU		SMHI_bvol och PEG
Licmophora gracilis	2	AU		SMHI_bvol och PEG
Licmophora gracilis	3	AU		SMHI_bvol och PEG
Licmophora gracilis		AU		Lagt till art utan storleksklass
Licmophora gracilis var. gracilis	1	AU		SMHI_bvol och PEG
Licmophora gracilis var. gracilis	2	AU		SMHI_bvol och PEG
Licmophora gracilis var. gracilis	3	AU		SMHI_bvol och PEG
Licmophora gracilis var. gracilis		AU		Lagt till art utan storleksklass
Limnococcus limneticus	1	AU		SMHI_bvol och PEG
Limnococcus limneticus	2	AU		SMHI_bvol och PEG
Limnococcus limneticus		AU		Lagt till art utan storleksklass
LImnoraphis	1	AU		
LImnoraphis	2	AU		
LImnoraphis	3	AU		
LImnoraphis		AU		
Limnothrix	1	AU		SMHI_bvol och PEG
Limnothrix	2	AU		SMHI_bvol och PEG
Limnothrix	3	AU		SMHI_bvol och PEG
Limnothrix	4	AU		SMHI_bvol och PEG
Limnothrix		AU		Lagt till art utan storleksklass
Limnothrix planctonica	1	AU		SMHI_bvol och PEG
Limnothrix planctonica	2	AU		SMHI_bvol och PEG
Limnothrix planctonica	3	AU		SMHI_bvol och PEG
Limnothrix planctonica		AU		Lagt till art utan storleksklass
Limnothrix redekei	1	AU		SMHI_bvol och PEG
Limnothrix redekei	2	AU		SMHI_bvol och PEG
Limnothrix redekei		AU		Lagt till art utan storleksklass
Lingulodinium		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Lingulodinium polyedra	1	AU		
Lingulodinium polyedra	2	AU		
Lingulodinium polyedra	3	AU		
Lingulodinium polyedra	4	AU		
Lingulodinium polyedra		AU		
Lingulodinium polyedrum	1	AU		SMHI_bvol och PEG
Lingulodinium polyedrum	2	AU		SMHI_bvol och PEG
Lingulodinium polyedrum	3	AU		SMHI_bvol och PEG
Lingulodinium polyedrum	4	AU		SMHI_bvol och PEG
Lingulodinium polyedrum		AU		Lagt till art utan storleksklass
Lioloma elongatum	1	AU		SMHI_bvol och PEG
Lioloma elongatum		AU		Lagt till art utan storleksklass
Lithodesmium undulatum	1	AU		SMHI_bvol och PEG
Lithodesmium undulatum		AU		Lagt till art utan storleksklass
Lobocystis	1	AU		
Lobocystis	2	AU		
Lobocystis		AU		
Lohmanniella		HT		
Lohmanniella oviformis		HT		
Lohmanniella oviformis	1	HT		
Lyngbya aestuarii	1	AU		SMHI_bvol och PEG
Lyngbya aestuarii		AU		Lagt till art utan storleksklass
Mallomonas	1	AU		SMHI_bvol och PEG
Mallomonas	2	AU		SMHI_bvol och PEG
Mallomonas		AU		Lagt till art utan storleksklass
Mallomonas acaroides	1	AU		SMHI_bvol och PEG
Mallomonas acaroides		AU		Lagt till art utan storleksklass
Mallomonas akrokomos	1	AU		SMHI_bvol och PEG
Mallomonas akrokomos		AU		Lagt till art utan storleksklass
Mallomonas akrokomos	2	AU		
Mallomonas caudata	1	AU		SMHI_bvol och PEG
Mallomonas caudata	2	AU		
Mallomonas caudata		AU		Lagt till art utan storleksklass
Mallomonas hamata	1	AU		SMHI_bvol och PEG
Mallomonas hamata		AU		Lagt till art utan storleksklass
Mallomonas hamata	2	AU		
Mallomonas multiunca	1	AU		SMHI_bvol och PEG
Mallomonas multiunca		AU		Lagt till art utan storleksklass
Mallomonas multiunca	2	AU		
Mallomonas punctifera	1	AU		SMHI_bvol och PEG
Mallomonas punctifera		AU		Lagt till art utan storleksklass
Mallomonas tonsurata		AU	NµA	Arter i sharkweb som inte finns PEG/SMHI listan
Mamiella		AU	NµA	Arter i sharkweb som inte finns PEG/SMHI listan
Mantoniella squamata	1	AU		SMHI_bvol och PEG
Mantoniella squamata		AU		Lagt till art utan storleksklass
Mastogloia smithii	1	AU		SMHI_bvol och PEG
Mastogloia smithii		AU		Lagt till art utan storleksklass
Mastogloia smithii var. smithii	1	AU		SMHI_bvol och PEG
Mastogloia smithii var. smithii		AU		Lagt till art utan storleksklass
Melosira	1	AU		SMHI_bvol och PEG
Melosira	2	AU		SMHI_bvol och PEG
Melosira		AU		Lagt till art utan storleksklass
Melosira arctica	1	AU		SMHI_bvol och PEG
Melosira arctica	2	AU		SMHI_bvol och PEG
Melosira arctica	3	AU		SMHI_bvol och PEG
Melosira arctica	4	AU		SMHI_bvol och PEG
Melosira arctica	5	AU		SMHI_bvol och PEG
Melosira arctica	6	AU		SMHI_bvol och PEG
Melosira arctica	7	AU		SMHI_bvol och PEG
Melosira arctica	8	AU		SMHI_bvol och PEG
Melosira arctica		AU		Lagt till art utan storleksklass
Melosira lineata	1	AU		SMHI_bvol och PEG
Melosira lineata	2	AU		SMHI_bvol och PEG
Melosira lineata		AU		Lagt till art utan storleksklass
Melosira moniliformis	1	AU		SMHI_bvol och PEG
Melosira moniliformis	2	AU		SMHI_bvol och PEG
Melosira moniliformis	3	AU		SMHI_bvol och PEG
Melosira moniliformis	4	AU		SMHI_bvol och PEG
Melosira moniliformis		AU		Lagt till art utan storleksklass
Melosira nummuloides	1	AU		SMHI_bvol och PEG
Melosira nummuloides	2	AU		SMHI_bvol och PEG
Melosira nummuloides		AU		Lagt till art utan storleksklass
Melosira varians	1	AU		SMHI_bvol och PEG
Melosira varians	2	AU		SMHI_bvol och PEG
Melosira varians	3	AU		SMHI_bvol och PEG
Melosira varians	4	AU		SMHI_bvol och PEG
Melosira varians		AU		Lagt till art utan storleksklass
Meridion circulare	1	AU		SMHI_bvol och PEG
Meridion circulare	2	AU		SMHI_bvol och PEG
Meridion circulare		AU		Lagt till art utan storleksklass
Meridion circulare var. circulare	1	AU		SMHI_bvol och PEG
Meridion circulare var. circulare	2	AU		SMHI_bvol och PEG
Meridion circulare var. circulare		AU		Lagt till art utan storleksklass
Meringosphaera		AU		
Meringosphaera mediterranea	1	AU		SMHI_bvol och PEG
Meringosphaera mediterranea	2	AU		SMHI_bvol och PEG
Meringosphaera mediterranea		AU		Lagt till art utan storleksklass
Merismopedia	1	AU		SMHI_bvol och PEG
Merismopedia	2	AU		SMHI_bvol och PEG
Merismopedia	3	AU		SMHI_bvol och PEG
Merismopedia	4	AU		SMHI_bvol och PEG
Merismopedia	5	AU		SMHI_bvol och PEG
Merismopedia	6	AU		SMHI_bvol och PEG
Merismopedia	7	AU		SMHI_bvol och PEG
Merismopedia	8	AU		SMHI_bvol och PEG
Merismopedia	9	AU		SMHI_bvol och PEG
Merismopedia	10	AU		SMHI_bvol och PEG
Merismopedia	11	AU		SMHI_bvol och PEG
Merismopedia	12	AU		SMHI_bvol och PEG
Merismopedia		AU		Lagt till art utan storleksklass
Merismopedia elegans	1	AU		SMHI_bvol och PEG
Merismopedia elegans	2	AU		SMHI_bvol och PEG
Merismopedia elegans		AU		Lagt till art utan storleksklass
Merismopedia glauca	1	AU		SMHI_bvol och PEG
Merismopedia glauca	2	AU		SMHI_bvol och PEG
Merismopedia glauca		AU		Lagt till art utan storleksklass
Merismopedia punctata	1	AU		SMHI_bvol och PEG
Merismopedia punctata	2	AU		SMHI_bvol och PEG
Merismopedia punctata	3	AU		SMHI_bvol och PEG
Merismopedia punctata		AU		Lagt till art utan storleksklass
Merismopedia tenuissima	1	AU		SMHI_bvol och PEG
Merismopedia tenuissima	2	AU		SMHI_bvol och PEG
Merismopedia tenuissima	3	AU		SMHI_bvol och PEG
Merismopedia tenuissima	4	AU		SMHI_bvol och PEG
Merismopedia tenuissima	5	AU		SMHI_bvol och PEG
Merismopedia tenuissima		AU		Lagt till art utan storleksklass
Merismopedia warmingiana	1	AU		SMHI_bvol och PEG
Merismopedia warmingiana	2	AU		SMHI_bvol och PEG
Merismopedia warmingiana	3	AU		SMHI_bvol och PEG
Merismopedia warmingiana	4	AU		SMHI_bvol och PEG
Merismopedia warmingiana	5	AU		SMHI_bvol och PEG
Merismopedia warmingiana	6	AU		SMHI_bvol och PEG
Merismopedia warmingiana		AU		Lagt till art utan storleksklass
Mesodinium		MX		Arter i sharkweb som inte finns PEG/SMHI listan
Mesodinium rubrum	1	MX		SMHI_bvol och PEG
Mesodinium rubrum	2	MX		SMHI_bvol och PEG
Mesodinium rubrum	3	MX		SMHI_bvol och PEG
Mesodinium rubrum	4	MX		SMHI_bvol och PEG
Mesodinium rubrum	5	MX		SMHI_bvol och PEG
Mesodinium rubrum	6	MX		SMHI_bvol och PEG
Mesodinium rubrum	7	MX		SMHI_bvol och PEG
Mesodinium rubrum	8	MX		SMHI_bvol och PEG
Mesodinium rubrum	9	MX		SMHI_bvol och PEG
Mesodinium rubrum		MX		Lagt till art utan storleksklass
Mesodinium	1	MX		
Mesodinium	2	MX		
Mesodinium	3	MX		
Mesodinium	4	MX		
Mesodinium	5	MX		
Mesodinium	6	MX		
Mesodinium	7	MX		
Mesodinium	8	MX		
Mesodinium	9	MX		
Mesodinium		MX		
Mesoporos perforatus	1	AU		SMHI_bvol och PEG
Mesoporos perforatus		AU		Lagt till art utan storleksklass
Messastrum gracile	1	AU		PEG_BVOL_2020
Messastrum gracile		AU		Lagt till art utan storleksklass
Meuniera membranacea	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Meuniera membranacea	2	AU		
Meuniera membranacea	3	AU		
Meuniera membranacea		AU		
Micracanthodinium	1	AU		
Micracanthodinium	2	AU		
Micracanthodinium	3	AU		
Micracanthodinium	4	AU		
Micracanthodinium		AU		
Micracanthodinium claytonii	1	AU		SMHI_bvol och PEG
Micracanthodinium claytonii	2	AU		SMHI_bvol och PEG
Micracanthodinium claytonii		AU		Lagt till art utan storleksklass
Micracanthodinium setiferum	1	AU		SMHI_bvol och PEG
Micracanthodinium setiferum	2	AU		SMHI_bvol och PEG
Micracanthodinium setiferum	3	AU		SMHI_bvol och PEG
Micracanthodinium setiferum	4	AU		SMHI_bvol och PEG
Micracanthodinium setiferum		AU		Lagt till art utan storleksklass
Micractinium		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Micractinium pusillum	1	AU		SMHI_bvol och PEG
Micractinium pusillum	2	AU		SMHI_bvol och PEG
Micractinium pusillum		AU		Lagt till art utan storleksklass
Microcystis	1	AU		SMHI_bvol och PEG
Microcystis	2	AU		SMHI_bvol och PEG
Microcystis	3	AU		SMHI_bvol och PEG
Microcystis	4	AU		SMHI_bvol och PEG
Microcystis	5	AU		SMHI_bvol och PEG
Microcystis	6	AU		SMHI_bvol och PEG
Microcystis	7	AU		SMHI_bvol och PEG
Microcystis	8	AU		SMHI_bvol och PEG
Microcystis		AU		Lagt till art utan storleksklass
Microcystis aeruginosa	1	AU		SMHI_bvol och PEG
Microcystis aeruginosa	2	AU		SMHI_bvol och PEG
Microcystis aeruginosa	3	AU		SMHI_bvol och PEG
Microcystis aeruginosa	4	AU		SMHI_bvol och PEG
Microcystis aeruginosa		AU		Lagt till art utan storleksklass
Microcystis flos-aquae	1	AU		SMHI_bvol och PEG
Microcystis flos-aquae	2	AU		SMHI_bvol och PEG
Microcystis flos-aquae	3	AU		SMHI_bvol och PEG
Microcystis flos-aquae	4	AU		SMHI_bvol och PEG
Microcystis flos-aquae		AU		Lagt till art utan storleksklass
Microcystis ichthyoblabe	1	AU		SMHI_bvol och PEG
Microcystis ichthyoblabe	2	AU		SMHI_bvol och PEG
Microcystis ichthyoblabe	3	AU		SMHI_bvol och PEG
Microcystis ichthyoblabe	4	AU		SMHI_bvol och PEG
Microcystis ichthyoblabe		AU		Lagt till art utan storleksklass
Microcystis novacekii	1	AU		SMHI_bvol och PEG
Microcystis novacekii	2	AU		SMHI_bvol och PEG
Microcystis novacekii	3	AU		SMHI_bvol och PEG
Microcystis novacekii	4	AU		SMHI_bvol och PEG
Microcystis novacekii		AU		Lagt till art utan storleksklass
Microcystis viridis	1	AU		SMHI_bvol och PEG
Microcystis viridis	2	AU		SMHI_bvol och PEG
Microcystis viridis	3	AU		SMHI_bvol och PEG
Microcystis viridis	4	AU		SMHI_bvol och PEG
Microcystis viridis	5	AU		SMHI_bvol och PEG
Microcystis viridis		AU		Lagt till art utan storleksklass
Microcystis wesenbergii	1	AU		SMHI_bvol och PEG
Microcystis wesenbergii	2	AU		SMHI_bvol och PEG
Microcystis wesenbergii	3	AU		SMHI_bvol och PEG
Microcystis wesenbergii	4	AU		SMHI_bvol och PEG
Microcystis wesenbergii		AU		Lagt till art utan storleksklass
Micromonas		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Micromonas pusilla	1	AU		SMHI_bvol och PEG
Micromonas pusilla		AU		Lagt till art utan storleksklass
Microsiphona potamos	1	AU		
Microsiphona potamos	2	AU		
Microsiphona potamos	3	AU		
Microsiphona potamos	4	AU		
Microsiphona potamos	5	AU		
Monactinus simplex	1	AU		SMHI_bvol och PEG
Monactinus simplex	2	AU		SMHI_bvol och PEG
Monactinus simplex		AU		Lagt till art utan storleksklass
Monomorphina pyrum	1	AU		SMHI_bvol och PEG
Monomorphina pyrum		AU		Lagt till art utan storleksklass
Monoraphidium	1	AU		SMHI_bvol och PEG
Monoraphidium	2	AU		SMHI_bvol och PEG
Monoraphidium	3	AU		SMHI_bvol och PEG
Monoraphidium	4	AU		
Monoraphidium		AU		Lagt till art utan storleksklass
Monoraphidium	5	AU		
Monoraphidium	6	AU		
Monoraphidium	7	AU		
Monoraphidium	8	AU		
Monoraphidium contortum	1	AU		SMHI_bvol och PEG
Monoraphidium contortum	2	AU		SMHI_bvol och PEG
Monoraphidium contortum	3	AU		SMHI_bvol och PEG
Monoraphidium contortum	4	AU		SMHI_bvol och PEG
Monoraphidium contortum	5	AU		SMHI_bvol och PEG
Monoraphidium contortum		AU		Lagt till art utan storleksklass
Monoraphidium convolutum	1	AU		SMHI_bvol och PEG
Monoraphidium convolutum	2	AU		SMHI_bvol och PEG
Monoraphidium convolutum	3	AU		SMHI_bvol och PEG
Monoraphidium convolutum	4	AU		SMHI_bvol och PEG
Monoraphidium convolutum		AU		Lagt till art utan storleksklass
Monoraphidium dybowskii	1	AU		SMHI_bvol och PEG
Monoraphidium dybowskii		AU		Lagt till art utan storleksklass
Monoraphidium griffithii	1	AU		SMHI_bvol och PEG
Monoraphidium griffithii	2	AU		SMHI_bvol och PEG
Monoraphidium griffithii		AU		Lagt till art utan storleksklass
Monoraphidium komarkovae	1	AU		SMHI_bvol och PEG
Monoraphidium komarkovae	2	AU		SMHI_bvol och PEG
Monoraphidium komarkovae	3	AU		SMHI_bvol och PEG
Monoraphidium komarkovae	4	AU		SMHI_bvol och PEG
Monoraphidium komarkovae		AU		Lagt till art utan storleksklass
Monoraphidium minutum	1	AU		SMHI_bvol och PEG
Monoraphidium minutum	2	AU		SMHI_bvol och PEG
Monoraphidium minutum	3	AU		SMHI_bvol och PEG
Monoraphidium minutum		AU		Lagt till art utan storleksklass
Monoraphidium minutum	4	AU		
Monoraphidium minutum	5	AU		
Monoraphidium minutum	6	AU		
Monoraphidium mirabile	1	AU		SMHI_bvol och PEG
Monoraphidium mirabile	2	AU		SMHI_bvol och PEG
Monoraphidium mirabile		AU		Lagt till art utan storleksklass
Monosiga	1	HT		SMHI_bvol och PEG
Monosiga		HT		Lagt till art utan storleksklass
Mougeotia	1	AU		SMHI_bvol och PEG
Mougeotia	2	AU		SMHI_bvol och PEG
Mougeotia	3	AU		SMHI_bvol och PEG
Mougeotia	4	AU		SMHI_bvol och PEG
Mougeotia		AU		Lagt till art utan storleksklass
Mucidosphaerium pulchellum	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Mucidosphaerium pulchellum		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Mychonastes elegans	1	AU		SMHI_bvol och PEG
Mychonastes elegans		AU		Lagt till art utan storleksklass
Myzozoa		HT		Arter i sharkweb som inte finns PEG/SMHI listan
Navicula	1	AU		SMHI_bvol och PEG
Navicula	2	AU		SMHI_bvol och PEG
Navicula	3	AU		SMHI_bvol och PEG
Navicula	4	AU		SMHI_bvol och PEG
Navicula	5	AU		SMHI_bvol och PEG
Navicula	10	AU		
Navicula	11	AU		
Navicula	12	AU		
Navicula	13	AU		
Navicula	14	AU		
Navicula		AU		Lagt till art utan storleksklass
Navicula capitata var. capitata	1	AU		SMHI_bvol och PEG
Navicula capitata var. capitata	2	AU		SMHI_bvol och PEG
Navicula capitata var. capitata	3	AU		SMHI_bvol och PEG
Navicula capitata var. capitata	4	AU		SMHI_bvol och PEG
Navicula capitata var. capitata		AU		Lagt till art utan storleksklass
Navicula cari	1	AU		SMHI_bvol och PEG
Navicula cari		AU		Lagt till art utan storleksklass
Navicula cryptocephala	1	AU		SMHI_bvol och PEG
Navicula cryptocephala		AU		Lagt till art utan storleksklass
Navicula digitoradiata	1	AU		SMHI_bvol och PEG
